NAA,Customer,Tier,Size (GB),Label,Consumed (GB),T1 (GB),T2 (GB),T3 (GB),T4 (GB)
{NAA} 60002AC0000000000000000500010CFA,AC3,T4,16384,S2_AC3_MGTMA01_T4.18,13207,,,,16384
{NAA} 60002AC0000000000000000500010CFC,AC3,T4,16384,I1_AC3_MGTMA01_T4.3,15026,,,,16384
{NAA} 60002AC000000000000000050002273A,AC3,T4,32768,I1_AC3_MGTMA01_T4.2,32768,,,,32768
{NAA} 60002AC000000000000000050002273F,AC3,T4,10,S2_AC3_MGTMA01_T4.3,2,,,,10
{NAA} 60002AC00000000000000005000256E2,AC3,T1,4096,S2_AC3_AZ02SHRDESX_SECTR_T1.2,3134,4096,,
{NAA} 60002AC000000000000000050002640A,AC3,T4,8192,S2_AC3_CVMEDIAESX_TMP_T4.4,8124,,,,8192
{NAA} 60002AC000000000000000050002848E,DOJ,T2,10240,I1_FACS_SLPPESXU_T2.2,2076,,10240,
{NAA} 60002AC0000000000000000500029518,AC3,T3,16384,I1_AC3_AZ01_SECTR_T3.2,6874,,,16384
{NAA} 60002AC0000000000000000500029519,AC3,T2,4096,S2_AC3_AZ01SHRDESX_AC3_T2.2,416,,4096,
{NAA} 60002AC0000000000000000600010CFA,AC3,T4,16384,S2_AC3_DOJDC1PWCMA01_T4.7,15452,,,,16384
{NAA} 60002AC0000000000000000600010CFC,AC3,T4,16384,I1_AC3_MGTMA01_T4.4,15789,,,,16384
{NAA} 60002AC00000000000000006000256E2,AC3,T1,4096,S2_AC3_AZ02SHRDESX_SECTR_T1.3,905,4096,,
{NAA} 60002AC0000000000000000600026435,AC3,T1,5120,S2_AC3_AZ02SHRDESX_NESA_T1.1,186,5120,,
{NAA} 60002AC0000000000000000600029518,AC3,T3,16384,I1_AC3_AZ01_SECTR_T3.3,3862,,,16384
{NAA} 60002AC0000000000000000600029519,AC3,T2,4096,S2_AC3_AZ01SHRDESX_AC3_T2.3,92,,4096,
{NAA} 60002AC0000000000000000700010CFA,AC3,T4,16384,S2_AC3_DOJDC1PWCMA01_T4.17,15565,,,,16384
{NAA} 60002AC0000000000000000700010CFC,AC3,T4,16384,I1_AC3_MGTMA01_T4.5,15794,,,,16384
{NAA} 60002AC0000000000000000700020F1E,AH,T2,50,S2_AH_EDCESXI_T2.1,14,,50,
{NAA} 60002AC000000000000000070002273A,AC3,T4,65536,I1_AC3_MGTMA01_T4.3,34479,,,,65536
{NAA} 60002AC00000000000000007000256E2,AC3,T1,4096,S2_AC3_AZ02SHRDESX_SECTR_T1.4,2205,4096,,
{NAA} 60002AC000000000000000070002640A,AC3,T4,16384,S2_AC3_DOJDC1PWCMA02_T4.1,15327,,,,16384
{NAA} 60002AC0000000000000000700029518,AC3,T3,16384,I1_AC3_AZ01_SECTR_T3.4,7002,,,16384
{NAA} 60002AC0000000000000000700029519,AC3,T2,4596,S2_AC3_AZ01SHRDESX_AC3_T2.4,555,,4596,
{NAA} 60002AC0000000000000000800010CFA,AC3,T4,16384,S2_AC3_DOJDC1PWCMA01_T4.21,15369,,,,16384
{NAA} 60002AC0000000000000000800010CFC,AC3,T4,16384,I1_AC3_CSNSWMA01_T4.23,16367,,,,16384
{NAA} 60002AC000000000000000080001C0D6,AC3,T4,16384,SY5_AC3_FXAMA01_T4.3,16100,,,,16384
{NAA} 60002AC0000000000000000800020F1E,AH,T2,4000,S2_AH_EDCESXI_T2.2,834,,4000,
{NAA} 60002AC000000000000000080002273A,AC3,T4,32768,I1_AC3_CSNSWMA01_T4.2,15349,,,,32768
{NAA} 60002AC000000000000000080002273F,AC3,T4,65536,S2_AC3_MGTMA01_T4.6,60878,,,,65536
{NAA} 60002AC00000000000000008000256E2,AC3,T1,4096,S2_AC3_AZ02SHRDESX_SECTR_T1.5,2193,4096,,
{NAA} 60002AC0000000000000000800029518,AC3,T3,16384,I1_AC3_AZ01_SECTR_T3.5,7818,,,16384
{NAA} 60002AC0000000000000000800029519,AC3,T2,4096,S2_AC3_AZ01SHRDESX_AC3_T2.5,447,,4096,
{NAA} 60002AC0000000000000000900010CFA,AC3,T4,16384,S2_AC3_DOJDC1PWCMA01_T4.19,15816,,,,16384
{NAA} 60002AC0000000000000000900010CFC,AC3,T4,16384,I1_AC3_CSNSWMA01_T4.1,14567,,,,16384
{NAA} 60002AC000000000000000090001C0D6,AC3,T4,16384,SY5_AC3_FXAMA01_T4.4,16103,,,,16384
{NAA} 60002AC0000000000000000900020F1E,AH,T2,4000,S2_AH_EDCESXI_T2.3,1052,,4000,
